x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
b,,2.46,u,,c,n,0.96,f,t,2.0,,g,160.0,
,,,,g,k,,,f,,,t,,356.0,0.0
,22.08,,u,g,k,,,f,f,0.0,f,g,,
b,47.17,5835.0,u,,w,,5.5,f,f,0.0,,g,465.0,150.0
,,6.0,,,,v,,,f,0.0,t,g,0.0,
a,,,,,,,415.0,f,,0.0,,g,80.0,
b,,835.0,u,g,,,,f,f,0.0,f,g,100.0,0.0
,,2415.0,u,,,v,,f,t,,,,,
,,0.5,,,q,,,t,t,1.0,,g,,
,,,,g,ff,ff,,t,,0.0,t,g,0.0,
b,,10.5,,,,,,t,f,0.0,t,g,0.0,
,56.0,,,,k,,8.0,,f,0.0,t,g,24.0,2028.0
,24.5,2415.0,y,p,,v,0.0,f,f,,f,g,120.0,0.0
b,21.83,11.0,u,,,,,,t,,f,g,,0.0
,32.0,1.75,,p,e,h,0.04,t,f,0.0,,,,0.0
a,,,u,,cc,h,415.0,,t,11.0,t,g,,
,,,y,,e,,0.0,,f,0.0,f,,100.0,
,31.58,0.75,,p,aa,,3.5,f,,,t,,320.0,0.0
,27.75,1.29,u,g,k,h,,f,,,t,s,140.0,0.0
,20.5,2415.0,u,g,c,,,,,11.0,t,,200.0,3000.0
,26.75,,y,p,c,,,f,f,,f,,200.0,1210.0
,,585.0,u,,aa,,,f,,0.0,,g,,1004.0
,,4.25,u,g,q,v,3.5,,,,,,454.0,50.0
,,9335.0,,g,,,5665.0,,t,,,,381.0,168.0
a,27.67,,,g,w,v,0.25,f,f,,t,,180.0,50.0
,,,u,,q,,0.21,,f,,f,g,200.0,
,,,y,,,v,,f,f,,,g,,
,,,u,,cc,h,,t,,,f,g,311.0,
,20.67,1835.0,,,q,v,2085.0,t,t,,,,220.0,
,28.67,,u,g,c,v,2.5,,t,,,,300.0,
b,29.25,,u,g,d,h,0.5,,f,0.0,f,g,228.0,0.0
,,3.0,,p,,j,0.0,f,,0.0,f,,,
b,,8.5,u,,,h,12.5,t,t,9.0,,,,
a,40.83,10.0,,g,q,h,,t,,,,g,,
,26.75,1125.0,u,g,,h,,t,f,,f,,0.0,5298.0
b,26.83,0.54,,g,k,ff,,,,,f,g,100.0,
b,,,,,,v,125.0,t,f,0.0,f,g,,
,,7.54,,p,q,h,8.0,t,,,,g,0.0,2300.0
b,34.5,4.04,,,i,,,t,t,7.0,,g,,0.0
b,19.33,10915.0,,g,,bb,585.0,f,t,,t,,200.0,7.0
,,,,g,q,h,,,f,0.0,t,,92.0,0.0
b,,1.5,,,q,v,2375.0,t,t,3.0,,g,0.0,
b,39.58,,u,g,,,0.0,f,,,,g,17.0,1.0
a,30.25,,u,,,v,5.5,f,f,0.0,t,s,100.0,
b,23.0,,u,,m,v,,,,0.0,,s,,0.0
b,41.42,5.0,u,g,,h,,t,t,,t,g,,0.0
,,165.0,u,,ff,,,,,0.0,t,,62.0,27.0
b,36.33,2125.0,y,p,,v,85.0,t,,,,g,,1187.0
b,,,,,c,v,,f,f,0.0,,,110.0,0.0
,,,,,aa,h,,t,f,0.0,f,,400.0,
,28.58,3625.0,,g,aa,v,0.25,f,f,,t,g,100.0,0.0
,,,u,g,w,v,,f,t,,,g,,
b,,2.0,,g,,,1.0,t,t,4.0,,,140.0,
,,,u,g,,v,6.5,,f,,,g,0.0,0.0
,39.92,5.0,,g,i,bb,0.21,,f,0.0,,,,0.0
b,32.42,,,p,k,,0.0,f,,0.0,f,g,120.0,
b,23.58,,u,g,,,,,,0.0,t,,136.0,1.0
b,21.08,4125.0,y,p,,h,0.04,f,f,,,g,,100.0
a,19.17,,y,,,,585.0,,,0.0,,g,160.0,0.0
b,22.75,11.5,u,,,v,415.0,,f,,f,g,0.0,0.0
b,,2.21,y,p,aa,,4.0,t,,,,,188.0,
b,,,,,cc,,7415.0,,,0.0,,g,0.0,0.0
b,,,u,,i,bb,3.25,t,t,2.0,,g,274.0,610.0
,17.25,3.0,u,,k,v,,f,f,0.0,,,160.0,
a,,,u,,q,,85.0,f,t,12.0,t,,129.0,3.0
a,,3.75,u,,c,,1085.0,t,,1.0,t,g,,
a,16.0,165.0,,g,aa,v,,,t,2.0,t,g,320.0,
,,1.75,u,g,,,,,,0.0,,g,163.0,0.0
b,,,u,g,e,,13.0,t,,,t,g,0.0,0.0
,20.42,1835.0,u,g,c,v,,t,t,1.0,f,g,,
a,21.25,2335.0,u,,i,bb,0.5,t,t,4.0,f,,,
b,,,u,,m,,1.75,,t,,t,g,,
b,57.83,,u,g,m,,,t,,6.0,,g,360.0,1332.0
,56.83,4.25,,,,ff,,f,,,t,,0.0,4.0
a,17.92,10.21,u,g,ff,ff,0.0,,f,0.0,f,g,0.0,50.0
b,54.83,,u,,e,z,,t,t,,,,152.0,
,,0.5,u,,m,v,10.75,t,f,,,s,,0.0
b,,11625.0,,,,v,835.0,t,,0.0,t,g,,300.0
,,6.75,u,,c,,2625.0,,t,11.0,,,,
,,0.5,,,m,v,,t,f,0.0,f,s,288.0,
,25.17,2875.0,u,g,x,,,t,,0.0,,,360.0,0.0
b,,3.5,u,g,w,v,,,t,3.0,t,,329.0,
,,5.29,,g,e,,2.25,,,,t,,,
,27.0,1.5,y,p,w,v,375.0,t,f,0.0,,g,260.0,
a,,11.25,,g,,ff,0.0,,f,0.0,,,,5200.0
,21.5,,,,,,,t,,3.0,f,g,80.0,
b,,,y,,,,3.0,f,f,0.0,,,176.0,537.0
,33.92,1585.0,y,p,ff,,0.0,,f,0.0,f,,,0.0
b,,,,p,i,bb,,,t,10.0,,g,132.0,
,39.0,5.0,u,,cc,,,t,t,,t,g,,
a,,,u,,,v,0.04,,,,f,,200.0,1000.0
,,,u,,q,,0.04,,t,1.0,,g,200.0,300.0
b,,,y,,w,v,0.25,,f,,,g,,195.0
b,27.83,,,,i,h,,t,t,,,g,,
,,,u,,,v,665.0,t,f,0.0,f,g,,0.0
,26.25,1.54,u,g,,v,,f,f,,,g,,0.0
a,25.58,0.0,,,,,0.0,f,f,0.0,f,,,0.0
,,,y,,,,0.5,t,,,f,g,200.0,1000.0
b,34.17,1.54,,g,,v,1.54,t,t,1.0,,,520.0,
b,18.42,,y,p,aa,v,125.0,t,f,0.0,f,g,,375.0
b,,,y,p,c,h,1375.0,t,t,3.0,,g,,
b,32.75,1.5,u,g,,h,5.5,,,,t,,0.0,
a,31.25,,u,g,,h,,t,t,,,,,
b,,3.5,u,g,cc,v,,,,,,,0.0,
,,,u,g,c,,835.0,,f,0.0,,s,320.0,0.0
,23.25,4.0,u,g,c,,0.25,,,0.0,t,,,0.0
b,,9.0,,g,,ff,4.0,,t,1.0,f,g,,
,23.92,1.5,u,,d,h,1875.0,,t,,,g,200.0,
,49.5,7585.0,,g,,,7585.0,t,t,15.0,,g,0.0,5000.0
a,,,,,,,,f,f,,,,,
,,,u,g,q,h,11.5,t,,7.0,,,,
b,36.17,0.42,y,p,,v,,,f,,t,,,2.0
a,30.42,,,,w,h,,,,3.0,,g,,
a,,0.5,u,,q,h,,,f,0.0,f,g,280.0,824.0
b,21.0,3.0,,p,d,,1085.0,t,,8.0,,g,160.0,1.0
b,,,u,,c,v,,,t,12.0,,g,,221.0
,19.5,0.29,,g,k,,0.29,f,f,0.0,f,g,280.0,
b,,2.04,y,p,ff,ff,1.5,f,f,0.0,f,,120.0,1.0
,22.5,11.5,,p,m,,1.5,f,f,0.0,t,g,0.0,4000.0
b,32.67,9.0,y,p,w,h,5.25,,,,t,,154.0,0.0
,41.33,0.0,u,,c,bb,,t,f,0.0,f,g,0.0,
b,26.67,14585.0,u,,i,,,f,f,0.0,t,g,178.0,0.0
a,22.75,,,g,,v,165.0,f,f,0.0,,,220.0,1000.0
b,23.5,2.75,u,,ff,,4.5,,,,f,g,,
,23.17,0.0,u,,cc,,,t,f,,f,g,0.0,0.0
b,32.33,,u,,,v,,f,,0.0,t,g,232.0,
b,,8.5,,,cc,,14.0,t,t,,t,g,,2000.0
,20.75,,u,g,,v,,,,2.0,t,g,,0.0
a,,,u,g,q,v,0.75,,f,,,s,,0.0
a,17.33,,,g,aa,v,1.75,f,t,,,g,0.0,10.0
a,,1.75,,,,,1.25,f,f,0.0,t,,280.0,0.0
b,,16.5,,p,,v,,,f,0.0,,g,80.0,0.0
,51.83,3.0,y,,,ff,1.5,f,f,,f,g,,4.0
,40.25,,u,g,e,z,,t,t,,f,,,
,,2.0,,,i,v,,,,2.0,f,g,120.0,300.0
b,21.92,,,,,v,125.0,,f,,,g,,
,,11125.0,,g,x,h,,t,,,f,,,
a,22.5,415.0,,g,i,,335.0,f,f,0.0,t,s,144.0,0.0
,19.0,,y,,,ff,0.0,,,4.0,,g,45.0,1.0
a,47.75,8.0,,,,,7875.0,t,t,,,,0.0,1260.0
b,19.67,10.0,y,,k,h,835.0,t,,0.0,t,g,140.0,
b,19.17,,y,p,,v,1.0,,f,0.0,t,g,360.0,1000.0
b,,,,,c,bb,2.5,t,,,f,g,0.0,
a,41.0,2.04,,,,h,125.0,t,t,,,,455.0,
b,29.58,4.75,u,,m,v,2.0,f,t,1.0,t,,460.0,68.0
b,28.33,5.0,u,,,v,,t,,,t,,70.0,0.0
,24.33,2.5,y,,i,bb,,,f,,f,,200.0,
a,22.5,8.5,,g,q,,,t,t,,f,g,80.0,990.0
b,24.42,,,,,,1585.0,t,f,0.0,,g,,0.0
,,,,,,v,,,f,0.0,,,,1058.0
a,52.83,15.0,u,,c,v,5.5,t,,14.0,,,,2200.0
,23.25,1.0,,,c,,835.0,t,,,,,,
,45.17,1.5,,g,,v,,,f,0.0,t,,140.0,0.0
a,,7625.0,u,g,,,,f,,1.0,t,g,,160.0
,23.08,,,,i,v,3.5,t,,9.0,,g,56.0,742.0
a,16.08,335.0,u,,ff,,,,t,1.0,f,,160.0,126.0
a,25.08,,y,,aa,v,0.25,,f,0.0,,g,370.0,0.0
a,46.08,,u,,,,2375.0,,,,,,396.0,
,21.17,875.0,y,,,,,f,,0.0,f,g,280.0,
b,,835.0,u,g,i,h,85.0,f,,0.0,t,,,5.0
,20.08,125.0,u,,,v,,f,,1.0,f,g,,768.0
b,25.0,,u,g,k,v,,,,2.0,t,,,5.0
