x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
b,29.83,,,g,,v,,f,f,0.0,f,,216.0,0.0,-
,36.75,125.0,y,p,,v,,f,f,0.0,t,g,232.0,,+
,24.92,,u,g,ff,,0.0,t,f,,f,,80.0,0.0,-
b,29.67,0.75,y,,c,,0.04,,f,,f,,,0.0,-
,22.17,12125.0,,g,,v,3335.0,,,2.0,,g,180.0,,-
,21.58,0.79,y,p,cc,v,665.0,f,f,0.0,,g,160.0,0.0,-
,,2.5,y,,,,10.0,,f,,t,s,200.0,0.0,-
a,,,y,,ff,ff,,t,,,,,,147.0,-
,,,u,,c,v,,,t,,f,,200.0,,+
,,,,p,,h,2.04,,t,,,,,18027.0,+
a,27.67,1.5,u,,m,v,,t,f,0.0,f,s,368.0,,-
a,23.5,,u,,w,,875.0,f,f,0.0,t,g,160.0,0.0,-
b,52.33,,,,,,9.46,t,,,t,g,,100.0,-
a,15.75,375.0,u,g,c,v,1.0,,f,0.0,f,g,120.0,18.0,-
a,,,,,,ff,,,t,,t,,,105.0,-
,28.58,3.54,u,,i,,0.5,t,,,,g,,0.0,-
a,18.83,4415.0,,p,c,,,,f,0.0,f,,240.0,,+
b,17.92,205.0,u,g,aa,v,0.04,,f,0.0,f,g,280.0,750.0,-
,,,u,g,,bb,6.5,,t,6.0,f,g,375.0,,+
,,11.25,,,,v,2.5,t,,,,g,,1208.0,+
,17.67,,y,,j,ff,0.0,,f,0.0,,g,,,-
b,29.25,14.79,u,,aa,,5.04,t,,5.0,,,,0.0,+
b,33.5,,,g,,h,,t,t,,,g,,,+
a,,665.0,u,g,w,v,1665.0,f,f,0.0,,g,,5.0,-
,,0.04,u,,e,,,,,1.0,f,,560.0,,+
,,1.71,u,,x,,1665.0,t,t,1.0,t,g,395.0,20.0,+
,,2.0,u,g,i,,,f,,0.0,,,,,-
a,38.58,5.0,u,g,,,13.5,,f,,t,,980.0,0.0,-
b,,0.25,y,p,,,,f,f,0.0,,,,,-
b,35.17,,,g,x,,5.75,,,0.0,t,s,,,+
b,39.08,,,,m,v,,,t,,,,108.0,1097.0,+
,35.0,3375.0,u,g,c,,,f,,0.0,t,g,0.0,0.0,-
b,,12.5,y,p,,,,f,,0.0,t,,0.0,17.0,-
,29.67,,,g,w,,,,,,f,,240.0,,+
b,34.17,2.75,,g,i,,2.5,f,,,t,g,232.0,200.0,-
a,,11585.0,,,cc,,0.04,t,,0.0,,g,,,+
,,0.25,u,,q,,335.0,,t,4.0,,g,160.0,8.0,-
,21.08,5.0,,p,ff,ff,0.0,f,,0.0,f,,0.0,,-
b,22.0,7835.0,,,i,bb,165.0,f,f,0.0,t,,,0.0,-
,,0.75,y,p,d,,,,f,0.0,,g,240.0,,-
a,18.83,,u,,,v,,t,,0.0,f,g,,,+
,59.67,1.54,,g,,v,,t,,,t,,,,+
,18.25,165.0,,,d,,0.25,,f,,t,s,,,-
a,64.08,,,,ff,ff,0.0,,t,1.0,f,g,232.0,100.0,+
,15.17,7.0,u,,e,v,,,,0.0,,,600.0,,-
,39.5,,u,g,c,bb,6.5,t,,16.0,f,,117.0,,+
a,20.83,3.0,,g,aa,v,,t,f,0.0,f,,100.0,0.0,+
b,25.67,,,g,c,,2.29,f,t,,t,,416.0,,-
,,,,,m,,,t,,1.0,f,,260.0,800.0,+
,,3335.0,,g,w,,4.0,t,,,f,,,1344.0,+
a,50.08,12.54,u,g,aa,,,,t,,t,g,156.0,0.0,+
,34.92,,,,x,h,,t,t,,,g,,,+
b,56.42,28.0,y,,,,28.5,t,,,f,,,15.0,+
a,,0.79,u,,,v,,f,f,0.0,f,g,,,-
